date,ticker,market,official_limit_status,proxy_limit_status,upper_or_lower,source,source_confidence,close_at_limit_flag,lock_evidence_flag,tradable_state,requires_manual_review
2026-03-16,003280,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-19,003530,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-04,003580,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-11-19,003680,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-14,003780,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2026-02-04,004060,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-20,004060,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-23,004060,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-02-03,004090,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-06-13,004090,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-07,004100,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-05,004310,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-01-15,004310,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-11,004410,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-28,004430,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-02-06,004440,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-02-13,004440,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-25,004440,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2018-05-21,004540,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2026-02-02,004560,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-13,004710,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-04,004770,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-01-21,004870,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2023-07-04,004890,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2025-04-18,004920,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-03,004960,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-20,004960,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-21,004980,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-14,004980,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-07-02,005320,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-08-26,005360,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-06-09,005390,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2019-02-07,005690,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2025-01-08,005800,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-06,005810,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-03,005880,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-10-22,005950,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-10-23,005950,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-31,006110,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2021-03-12,006200,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2026-01-27,006220,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-23,006340,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-29,006340,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-01-06,006490,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-01-08,006660,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-02-24,006660,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-16,007340,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-02-24,007460,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-30,007610,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-05-04,007610,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-01-13,008250,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2019-11-19,008350,,,w001_v2_proxy,unknown_w001_proxy,w001_v2_limit_lock_candidate,proxy,true,false,,true
2025-12-26,008350,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-03-31,008350,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-13,008350,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-04-28,008420,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-28,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-29,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-30,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-05-02,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-05-12,008500,,,rule_derived,lower,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-08-06,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-09-25,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-09-26,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-09-30,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-12-18,008500,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-03-21,008600,,,rule_derived,lower,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-03-24,008600,,,rule_derived,lower,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-03-28,008600,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-03-31,008600,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-04-07,008600,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2025-05-12,008600,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
2026-01-26,008600,,,rule_derived,upper,krx_historical_price_limit_rule,semi_official_rule_derived,true,false,,false
