pdno,ticker,prdt_name,kis_mcls,ksic,final_sector_code,final_sector_name,mapping_source
00000A207940,207940,삼성바이오로직스보통주,,기초 의약물질 및 생물학적 제제 제조업,07,헬스케어,ksic_fallback
00000A210540,210540,디와이파워보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A210980,210980,SK디앤디보통주,,부동산 임대 및 공급업,12,건설/부동산,ksic_fallback
00000A213500,213500,한솔제지보통주,,"펄프, 종이 및 판지 제조업",03,2차전지/화학/소재,ksic_fallback
00000A214320,214320,이노션보통주,,광고업,08,인터넷/게임/SW,ksic_fallback
00000A214330,214330,금호에이치티보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A214390,214390,경보제약보통주,,기초 의약물질 및 생물학적 제제 제조업,07,헬스케어,ksic_fallback
00000A214420,214420,토니모리보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A217590,217590,티엠씨보통주,,절연선 및 케이블 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A226320,226320,잇츠한불보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A227840,227840,현대코퍼레이션홀딩스보통주,,음·식료품 및 담배 도매업,10,음식료,ksic_fallback
00000A229640,229640,LS에코에너지보통주,,기타 금융업,06,금융,ksic_fallback
00000A234080,234080,JW생명과학보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A241560,241560,두산밥캣보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A241590,241590,화승엔터프라이즈보통주,,신발 및 신발부분품 제조업,09,소비재/유통,ksic_fallback
00000A244920,244920,에이플러스에셋보통주,,보험 및 연금관련 서비스업,06,금융,ksic_fallback
00000A248070,248070,솔루엠보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A248170,248170,샘표식품보통주,,동물용 사료 및 조제식품 제조업,10,음식료,ksic_fallback
00000A249420,249420,일동제약보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A251270,251270,넷마블보통주,,소프트웨어 개발 및 공급업,08,인터넷/게임/SW,ksic_fallback
00000A259960,259960,크래프톤보통주,,소프트웨어 개발 및 공급업,08,인터넷/게임/SW,ksic_fallback
00000A264900,264900,크라운제과보통주,,"곡물가공품, 전분 및 전분제품 제조업",10,음식료,ksic_fallback
00000A267250,267250,에이치디현대보통주,,기타 금융업,06,금융,ksic_fallback
