rcept_no,prior_parse_status,prior_taxonomy_class,prior_feasibility_bucket,body_format,body_locally_available,provenance
20171011800012,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20230925800473,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20230717800369,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20230706800002,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20220516800004,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20190325800031,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20190321801662,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20210526800582,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20210526800583,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20210526800297,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20210526800293,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
