portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,2022_krw_return,calendar_year_return,-0.15523519271714148,2022-01-01,2022-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,2025_spike_exclusion,cagr_excluding_2025_return_days,0.12122308670135817,2010-01-04,2026-05-18,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2010_2017,cagr,0.09176648954982625,2010-01-01,2017-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2010_2017,sharpe,0.9371480401296878,2010-01-01,2017-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2018_2026,cagr,0.16705979535523463,2018-01-01,2026-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2018_2026,sharpe,1.2198814770573843,2018-01-01,2026-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,subperiod_2018_2026,max_drawdown,-0.17808879366022634,2018-01-01,2026-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,2020_covid_daily_mdd,daily_mdd,-0.16795868431972294,2020-02-01,2020-04-30,2020-02-20,2020-03-19
monthly_band_15pp,Monthly + 15pp,monthly,15.0,2022_krw_return,calendar_year_return,-0.17436090873708465,2022-01-01,2022-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.12925420252559938,2010-01-04,2026-05-18,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2010_2017,cagr,0.09660895700639838,2010-01-01,2017-12-31,,
monthly_band_15pp,Monthly + 15pp,monthly,15.0,subperiod_2010_2017,sharpe,0.9793830371729435,2010-01-01,2017-12-31,,
