portfolio,label,schedule,band_pp,date,event_type,pre_nav_krw,pre_check_max_component_abs_drift_pp,commission_krw,capital_gains_tax_krw
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-04-01,band_trigger_rebalance,306558870.9429669,0.819665706831757,12385.659291428216,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-05-03,band_trigger_rebalance,311735796.2381315,0.5404041259730152,11902.39856982369,193004.9837087141
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-06-01,band_trigger_rebalance,307197031.14661765,0.21240677564100807,3774.804999313429,42606.259171289224
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-07-01,band_trigger_rebalance,322184567.3495926,0.8956765499599423,16611.84863752082,530197.1740436993
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-08-02,band_trigger_rebalance,330146894.0971611,0.8416952549393952,15261.176266431083,322647.00139657425
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-09-01,band_trigger_rebalance,333893777.62641954,0.9812281537590145,24477.299127831404,944002.8358877879
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-10-01,band_trigger_rebalance,325152790.4426882,1.361916549436204,25319.441236264167,215476.82202757784
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-11-01,band_trigger_rebalance,334860439.40813106,1.3502500372136017,23209.25669676915,842936.9121167014
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-12-01,band_trigger_rebalance,335225455.57888025,0.6046020941425589,10203.513876913563,59182.39028093085
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-01-03,band_trigger_rebalance,343696362.3014132,1.1989117079349798,25966.21782982737,193990.60533466577
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-02-01,band_trigger_rebalance,324024842.70089877,1.9916647057970693,39674.19145550033,267934.6781474844
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2022-03-01,band_trigger_rebalance,316551090.1604135,1.214323798273262,31499.055875846017,0.0
