year,flow_bucket,ticker,date,panel_foreign,panel_institution,panel_trading_value,year_month,krx_foreign,krx_institution,foreign_diff_pct,institution_diff_pct,foreign_sign_match,institution_sign_match,foreign_within_5pct,institution_within_5pct
2024,1억-10억,123690,2024-01-15,-113499570.0,-1093940.0,549142930.0,2024-01,-114588400,-1063170,0.009502096198219017,-0.028941749673147287,True,True,True,True
2021,<1억,123700,2021-01-12,27268860.0,-82340.0,336369290.0,2021-01,27187490,-76540,0.002992920641074259,-0.07577737130911942,True,True,True,False
2021,<1억,123700,2021-02-25,18274920.0,76380.0,216704785.0,2021-02,18012950,76380,0.014543425702064348,0.0,True,True,True,True
2024,<1억,123700,2024-07-10,33381330.0,-92745.0,115833325.0,2024-07,33188955,-92740,0.005796356046763148,-5.391416864351952e-05,True,True,True,True
2020,<1억,126560,2020-12-07,-48154020.0,-310650.0,465032880.0,2020-12,-48014950,-300210,-0.002896389562001002,-0.03477565704007195,True,True,True,True
2023,100억-1000억,128940,2023-04-28,-2628251000.0,8144445000.0,19927253500.0,2023-04,-2657198500,8186768000,0.010893992300537577,-0.00516968356743467,True,True,True,True
2026,100억-1000억,128940,2026-02-03,11398986000.0,3948550000.0,60684188000.0,2026-02,11172136000,3871609500,0.020304980175679922,0.01987300113815714,True,True,True,True
2024,<1억,129260,2024-08-13,-586950.0,2057550.0,65665125.0,2024-08,-593860,2042195,0.01163573906307884,0.007518870626947965,True,True,True,True
2025,<1억,129260,2025-12-24,-28099345.0,-40720.0,94521655.0,2025-12,-27670550,-40720,-0.015496439355198939,0.0,True,True,True,True
2025,1억-10억,133820,2025-10-16,-592153180.0,3404650.0,2444394703.0,2025-10,-591369024,3338175,-0.0013260011400258935,0.019913575531540436,True,True,True,True
2019,1억-10억,138250,2019-07-25,-38124100.0,169905300.0,394627400.0,2019-07,-37963050,171389250,-0.004242282956717124,-0.008658361011557026,True,True,True,True
2019,<1억,138250,2019-08-29,6472200.0,44049150.0,172490890.0,2019-08,6073980,43301180,0.06556162516175555,0.01727366321194942,True,True,False,True
2018,<1억,138490,2018-12-28,35567400.0,-2356200.0,94546770.0,2018-12,35513640,-2355190,0.001513784562776443,-0.0004288401360399798,True,True,True,True
2018,10억-100억,139130,2018-01-19,1342429500.0,164451400.0,5934164400.0,2018-01,1339941600,167927550,0.0018567227109002364,-0.020700296050290737,True,True,True,True
2020,10억-100억,139130,2020-01-14,230583200.0,-1141894240.0,4597181430.0,2020-01,230550140,-1134307790,0.00014339613933871391,-0.006688175878612277,True,True,True,True
2026,100억-1000억,139130,2026-04-10,6860365600.0,49937267360.0,67294606000.0,2026-04,6846755535,49943887645,0.0019878123193425804,-0.00013255445885704438,True,True,True,True
