date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2014-11-26,0.8932329652031864,1.8317149505051729,1.0
2014-11-27,0.9029644113242921,1.834377636742279,1.0
2014-11-28,0.9124510142929958,1.8343805072800021,1.0
2014-12-01,0.9165071332440008,1.8212584502958866,1.0
2014-12-02,0.9117013700739041,1.8226247313364148,1.0
2014-12-03,0.91518531893053,1.8268764209363297,1.0
2014-12-04,0.9288617013988044,1.8428646447660133,1.0
2014-12-05,0.9265377604944931,1.8433252088892917,1.0
2014-12-08,0.923036504692089,1.8370059197948052,1.0
2014-12-09,0.9273035166641964,1.8305209508496856,1.0
2014-12-10,0.9188223409885701,1.8076971348594335,1.0
2014-12-11,0.9029807484001466,1.7815517096163431,1.0
2014-12-12,0.9033738868048184,1.787070363666266,1.0
2014-12-15,0.888934482545488,1.7868519113768901,1.0
2014-12-16,0.8664792010334813,1.7726735382001035,1.0
2014-12-17,0.865478396793036,1.7695615381534533,1.0
2014-12-18,0.8671147502797796,1.7688900520441484,1.0
2014-12-19,0.891637410491748,1.8002906851445943,1.0
2014-12-22,0.9014996366814367,1.8128801769497356,1.0
2014-12-23,0.893901828739241,1.8093925521453003,1.0
2014-12-24,0.8983644821508441,1.8168297801155129,1.0
2014-12-26,0.8937676304549431,1.8184726637699058,1.0
2014-12-29,0.8872060385762343,1.8005834073402598,1.0
2014-12-30,0.8799594977656934,1.789724912260335,1.0
2015-01-02,0.8828578801890601,1.8010859255450764,1.0
2015-01-05,0.8760904524553029,1.7923948819773892,1.0
2015-01-06,0.8637486242165976,1.7619802488928977,1.0
2015-01-07,0.8789372634939816,1.7638801673302893,1.0
2015-01-08,0.8960498254580329,1.7841101067004088,1.0
2015-01-09,0.8998492935274077,1.8036292283847126,1.0
2015-01-12,0.8997106371943963,1.8007753294762605,1.0
2015-01-13,0.8912488890109579,1.7992688275041602,1.0
2015-01-14,0.885735627474941,1.796541358324371,1.0
2015-01-15,0.8780078987714606,1.7976582802374566,1.0
2015-01-16,0.8596605745950622,1.7737208137684966,1.0
2015-01-19,0.8643746131064904,1.7882602587090692,1.0
2015-01-20,0.8803390727244909,1.8036636152051015,1.0
2015-01-21,0.8834873796664416,1.8074635738941927,1.0
2015-01-22,0.8841839079766484,1.8077916537109904,1.0
