date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2010-12-03,1.0180472910753078,0.0,1.0180472910753078,1.0180472910753078,0,1.0,1.0180472910753078,1.0180472910753078
2010-12-06,1.018151335193475,0.0,1.018151335193475,1.018151335193475,0,1.0,1.018151335193475,1.018151335193475
2010-12-07,1.018255389944919,0.0,1.018255389944919,1.018255389944919,0,1.0,1.018255389944919,1.018255389944919
2010-12-08,1.0183594553307262,0.0,1.0183594553307262,1.0183594553307262,0,1.0,1.0183594553307262,1.0183594553307262
2010-12-09,1.0184635313519839,0.0,1.0184635313519839,1.0184635313519839,0,1.0,1.0184635313519839,1.0184635313519839
2010-12-10,1.0185676180097787,0.0,1.0185676180097787,1.0185676180097787,0,1.0,1.0185676180097787,1.0185676180097787
2010-12-13,1.0186717153051978,0.0,1.0186717153051978,1.0186717153051978,0,1.0,1.0186717153051978,1.0186717153051978
2010-12-14,1.0187758232393282,0.0,1.0187758232393282,1.0187758232393282,0,1.0,1.0187758232393282,1.0187758232393282
2010-12-15,1.0188799418132573,0.0,1.0188799418132573,1.0188799418132573,0,1.0,1.0188799418132573,1.0188799418132573
2010-12-16,1.0189840710280724,0.0,1.0189840710280724,1.0189840710280724,0,1.0,1.0189840710280724,1.0189840710280724
2010-12-17,1.0190882108848611,0.0,1.0190882108848611,1.0190882108848611,0,1.0,1.0190882108848611,1.0190882108848611
2010-12-20,1.019192361384711,0.0,1.019192361384711,1.019192361384711,0,1.0,1.019192361384711,1.019192361384711
2010-12-21,1.0192965225287096,0.0,1.0192965225287096,1.0192965225287096,0,1.0,1.0192965225287096,1.0192965225287096
2010-12-22,1.019400694317945,0.0,1.019400694317945,1.019400694317945,0,1.0,1.019400694317945,1.019400694317945
2010-12-23,1.019504876753505,0.0,1.019504876753505,1.019504876753505,0,1.0,1.019504876753505,1.019504876753505
2010-12-24,1.0196090698364777,0.0,1.0196090698364777,1.0196090698364777,0,1.0,1.0196090698364777,1.0196090698364777
2010-12-27,1.0197132735679513,0.0,1.0197132735679513,1.0197132735679513,0,1.0,1.0197132735679513,1.0197132735679513
2010-12-28,1.0198174879490138,0.0,1.0198174879490138,1.0198174879490138,0,1.0,1.0198174879490138,1.0198174879490138
2010-12-29,1.019921712980754,0.0,1.019921712980754,1.019921712980754,0,1.0,1.019921712980754,1.019921712980754
2010-12-30,1.0200259486642602,0.0,1.0200259486642602,1.0200259486642602,0,1.0,1.0200259486642602,1.0200259486642602
2011-01-03,1.0201448199962795,0.0,1.0201448199962795,1.0201448199962795,0,1.0,1.0201448199962795,1.0201448199962795
2011-01-04,1.0202637051812735,0.0,1.0202637051812735,1.0202637051812735,0,1.0,1.0202637051812735,1.0202637051812735
2011-01-05,1.0203826042208566,0.0,1.0203826042208566,1.0203826042208566,0,1.0,1.0203826042208566,1.0203826042208566
2011-01-06,1.0205015171166432,0.0,1.0205015171166432,1.0205015171166432,0,1.0,1.0205015171166432,1.0205015171166432
2011-01-07,1.0206204438702482,0.0,1.0206204438702482,1.0206204438702482,0,1.0,1.0206204438702482,1.0206204438702482
2011-01-10,1.0207393844832864,0.0,1.0207393844832864,1.0207393844832864,0,1.0,1.0207393844832864,1.0207393844832864
2011-01-11,1.020858338957373,0.0,1.020858338957373,1.020858338957373,0,1.0,1.020858338957373,1.020858338957373
2011-01-12,1.0209773072941235,0.0,1.0209773072941235,1.0209773072941235,0,1.0,1.0209773072941235,1.0209773072941235
2011-01-13,1.0210962894951534,0.0,1.0210962894951534,1.0210962894951534,0,1.0,1.0210962894951534,1.0210962894951534
2011-01-14,1.0212152855620782,0.0,1.0212152855620782,1.0212152855620782,0,1.0,1.0212152855620782,1.0212152855620782
2011-01-17,1.0213342954965139,0.0,1.0213342954965139,1.0213342954965139,0,1.0,1.0213342954965139,1.0213342954965139
2011-01-18,1.0214533193000765,0.0,1.0214533193000765,1.0214533193000765,0,1.0,1.0214533193000765,1.0214533193000765
2011-01-19,1.0215723569743826,0.0,1.0215723569743826,1.0215723569743826,0,1.0,1.0215723569743826,1.0215723569743826
2011-01-20,1.0216914085210484,0.0,1.0216914085210484,1.0216914085210484,0,1.0,1.0216914085210484,1.0216914085210484
2011-01-21,1.0218104739416907,0.0,1.0218104739416907,1.0218104739416907,0,1.0,1.0218104739416907,1.0218104739416907
2011-01-24,1.021929553237926,0.0,1.021929553237926,1.021929553237926,0,1.0,1.021929553237926,1.021929553237926
2011-01-25,1.0220486464113716,0.0,1.0220486464113716,1.0220486464113716,0,1.0,1.0220486464113716,1.0220486464113716
2011-01-26,1.0221677534636446,0.0,1.0221677534636446,1.0221677534636446,0,1.0,1.0221677534636446,1.0221677534636446
2011-01-27,1.0222868743963627,0.0,1.0222868743963627,1.0222868743963627,0,1.0,1.0222868743963627,1.0222868743963627
2011-01-28,1.022406009211143,0.0,1.022406009211143,1.022406009211143,0,1.0,1.022406009211143,1.022406009211143
2011-01-31,1.0225251579096037,0.0,1.0225251579096037,1.0225251579096037,0,1.0,1.0225251579096037,1.0225251579096037
2011-02-01,1.0226443204933626,0.0,1.0226443204933626,1.0226443204933626,0,1.0,1.0226443204933626,1.0226443204933626
2011-02-07,1.022763496964038,0.0,1.022763496964038,1.022763496964038,0,1.0,1.022763496964038,1.022763496964038
2011-02-08,1.0228826873232482,0.0,1.0228826873232482,1.0228826873232482,0,1.0,1.0228826873232482,1.0228826873232482
2011-02-09,1.0230018915726116,0.0,1.0230018915726116,1.0230018915726116,0,1.0,1.0230018915726116,1.0230018915726116
2011-02-10,1.023121109713747,0.0,1.023121109713747,1.023121109713747,0,1.0,1.023121109713747,1.023121109713747
2011-02-11,1.0232403417482732,0.0,1.0232403417482732,1.0232403417482732,0,1.0,1.0232403417482732,1.0232403417482732
2011-02-14,1.0233595876778094,0.0,1.0233595876778094,1.0233595876778094,0,1.0,1.0233595876778094,1.0233595876778094
2011-02-15,1.0234788475039749,0.0,1.0234788475039749,1.0234788475039749,0,1.0,1.0234788475039749,1.0234788475039749
2011-02-16,1.0235981212283891,0.0,1.0235981212283891,1.0235981212283891,0,1.0,1.0235981212283891,1.0235981212283891
2011-02-17,1.023717408852672,0.0,1.023717408852672,1.023717408852672,0,1.0,1.023717408852672,1.023717408852672
2011-02-18,1.023836710378443,0.0,1.023836710378443,1.023836710378443,0,1.0,1.023836710378443,1.023836710378443
