date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2024-01-12,0.0,1.6068647973178047,1.6068647973178047,1.6068647973178047,5,1.2770540822076528,1.6068647973178047,1.258259003831698
2024-01-15,0.0,1.6109704128356845,1.6109704128356845,1.6109704128356845,5,1.2803170157574046,1.6109704128356845,1.258259003831698
2024-01-16,0.0,1.6000503508478099,1.6000503508478099,1.6000503508478099,5,1.271638308150608,1.6000503508478099,1.258259003831698
2024-01-17,0.0,1.5703981628955788,1.5703981628955788,1.5703981628955788,5,1.248072263431728,1.5703981628955788,1.258259003831698
2024-01-18,0.0,1.5810569455024952,1.5810569455024952,1.5810569455024952,5,1.2565433195294455,1.5810569455024952,1.258259003831698
2024-01-19,0.0,1.612141210480288,1.612141210480288,1.612141210480288,5,1.2812475059355302,1.612141210480288,1.258259003831698
2024-01-22,0.0,1.6154318773506948,1.6154318773506948,1.6154318773506948,5,1.283862759917728,1.6154318773506948,1.258259003831698
2024-01-23,0.0,1.623178404656015,1.623178404656015,1.623178404656015,5,1.2900193042235744,1.623178404656015,1.258259003831698
2024-01-24,0.0,1.6206966068519153,1.6206966068519153,1.6206966068519153,5,1.28804689806829,1.6206966068519153,1.258259003831698
2024-01-25,0.0,1.60611024042411,1.60611024042411,1.60611024042411,5,1.2764543989219408,1.60611024042411,1.258259003831698
2024-01-26,0.0,1.6023756684026798,1.6023756684026798,1.6023756684026798,5,1.2734863517948725,1.6023756684026798,1.258259003831698
2024-01-29,0.0,1.627275162266155,1.627275162266155,1.627275162266155,5,1.2932751979606065,1.627275162266155,1.258259003831698
2024-01-30,0.0,1.6303597027532957,1.6303597027532957,1.6303597027532957,5,1.2957266332197603,1.6303597027532957,1.258259003831698
2024-01-31,0.0,1.638095194894986,1.638095194894986,1.638095194894986,5,1.301874407341093,1.638095194894986,1.258259003831698
2024-02-01,0.0,1.6549204966429871,1.6549204966429871,1.6549204966429871,5,1.3152462979429198,1.6549204966429871,1.258259003831698
2024-02-02,0.0,1.7167928171619828,1.7167928171619828,1.7167928171619828,5,1.3644192586215875,1.7167928171619828,1.258259003831698
2024-02-05,0.0,1.7207627552102964,1.7207627552102964,1.7207627552102964,5,1.3675743626472485,1.7207627552102964,1.258259003831698
2024-02-06,0.0,1.7208384425179188,1.7208384425179188,1.7208384425179188,5,1.367634515054179,1.7208384425179188,1.258259003831698
2024-02-07,0.0,1.7374753877967704,1.7374753877967704,1.7374753877967704,5,1.3808567095532354,1.7374753877967704,1.258259003831698
2024-02-08,0.0,1.7549620663270575,1.7549620663270575,1.7549620663270575,5,1.3947542286467098,1.7549620663270575,1.258259003831698
2024-02-13,0.0,1.7852605585278458,1.7852605585278458,1.7852605585278458,5,1.4188339229771474,1.7852605585278458,1.258259003831698
2024-02-14,0.0,1.7623174371640082,1.7623174371640082,1.7623174371640082,5,1.4005999017669115,1.7623174371640082,1.258259003831698
