ticker,rcept_dt,official_status_category,report_nm,rcept_no,w001_tradable_state,reconciliation_class
069540,2019-03-25,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190325901103,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065940,2019-03-25,delisting,기타시장안내(상장폐지 관련),20190325901099,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065940,2019-03-25,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190325901096,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
214370,2019-03-25,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190325901087,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
031980,2019-03-25,suspension_related,주권매매거래정지(구주권 제출),20190325900908,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
242850,2019-03-25,suspension_related,주권매매거래정지기간변경(지정자문인 선임계약 해지),20190325600808,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
054340,2019-03-25,suspension_related,주권매매거래정지기간변경(구주권 제출),20190325900639,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
109070,2019-03-25,resumption_related,매매거래정지및정지해제(풍문등조회공시),20190325800031,panel_absence,official_status_but_panel_absent
106080,2019-03-22,delisting,기타시장안내(상장폐지 관련),20190322901640,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
004540,2019-03-22,resumption_related,매매거래정지및정지해제(중요내용공시),20190322801591,panel_absence,official_status_but_panel_absent
003280,2019-03-22,resumption_related,매매거래정지및정지해제(중요내용공시),20190322801368,panel_absence,official_status_but_panel_absent
108860,2019-03-22,suspension_related,주권매매거래정지기간변경(풍문 사유(감사의견 비적정설) 미해소),20190322900806,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
242850,2019-03-22,suspension_related,[기재정정]주권매매거래정지(상장폐지 사유발생),20190322600250,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
106080,2019-03-22,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190322900247,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
079190,2019-03-21,delisting,기타시장안내(상장폐지 관련 안내),20190321901808,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
079190,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901797,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
046070,2019-03-21,delisting,기타시장안내(상장폐지 관련 안내),20190321901807,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
056730,2019-03-21,delisting,기타시장안내(상장폐지 관련 안내),20190321901806,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
046070,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901804,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
056730,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901805,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
111820,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901801,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
111820,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901789,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
223220,2019-03-21,suspension_related,주권매매거래정지기간변경,20190321601781,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
223220,2019-03-21,delisting,기타시장안내(상장폐지 관련),20190321601768,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
242850,2019-03-21,suspension_related,주권매매거래정지(상장폐지 사유발생),20190321601777,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
242850,2019-03-21,delisting,기타시장안내(상장폐지 관련),20190321601773,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
183350,2019-03-21,suspension_related,주권매매거래정지(상장폐지 사유발생),20190321601779,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
183350,2019-03-21,delisting,기타시장안내(상장폐지 관련),20190321601771,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
149940,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901780,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
205290,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유발생),20190321601775,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
205290,2019-03-21,delisting,기타시장안내(상장폐지 관련),20190321601774,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
030270,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901776,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
017680,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901770,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
230980,2019-03-21,delisting,기타시장안내(상장폐지 사유발생),20190321901767,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
230980,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901765,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
017680,2019-03-21,suspension_related,주권매매거래정지(상장폐지 사유 발생),20190321901753,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
030270,2019-03-21,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190321901751,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
108860,2019-03-21,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190321901752,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
214370,2019-03-21,delisting,기타시장안내(상장폐지 관련(2019.03.21 시행 개정 코스닥시장상장규정 반영),20190321901749,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
007530,2019-03-21,suspension_related,주권매매거래정지(상장폐지 사유발생),20190321901735,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
007530,2019-03-21,delisting,기타시장안내(상장폐지사유 발생),20190321901744,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
