correction_rcept_no,correction_rcept_dt,stock_code,corp_code,corp_name,correction_report_nm,event_category,pass1_link_confidence,pass2_link_confidence,pass2_cross_category,pass2_raw_pool,pass2_long_window,n_cands_730d,root_cause,notes
20190424600679,2019-04-24,223220,1060735,로지스몬,[기재정정]주권매매거래정지기간변경,suspension_related,no_link,high,False,False,False,11,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20190415900808,2019-04-15,149940,757816,모다,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,no_link,high,False,False,False,16,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20190411900687,2019-04-11,030270,100258,에스마크,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,no_link,high,False,False,False,14,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20221027800436,2022-10-27,058430,155258,포스코스틸리온,[기재정정]생산재개(자율공시),resumption_related,no_link,no_link,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20230518900519,2023-05-18,048260,341916,오스템임플란트,[기재정정]주권매매거래정지(투자자보호사유 : 자진 상장폐지 결정),suspension_related,no_link,medium,False,False,False,6,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20230407901311,2023-04-07,148140,610490,비디아이,"[기재정정]주권매매거래정지기간변경(상장폐지 사유 해소, 사업보고서 미제출)",suspension_related,no_link,medium,False,False,True,22,window_too_short,candidate at 224d (pass-1 used 180d)
20230407901054,2023-04-07,106520,536329,노블엠앤비,[기재정정]주권매매거래정지(풍문 또는 보도 관련),suspension_related,no_link,low,False,False,False,6,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20251219900832,2025-12-19,440110,1292291,파두,[기재정정]주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생)),suspension_related,no_link,medium,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20251029900260,2025-10-29,347850,1376715,디앤디파마텍,[기재정정]주권매매거래정지              (무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20180724800459,2018-07-24,073240,481454,금호타이어,[기재정정]채권은행등의관리절차해제,resumption_related,no_link,no_link,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260323801944,2026-03-23,143210,119140,핸즈코퍼레이션,[기재정정]매매거래정지및정지해제(풍문등조회공시)              ,resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20260323801642,2026-03-23,143210,119140,핸즈코퍼레이션,[기재정정]매매거래정지및정지해제(풍문등조회공시)              ,resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20260323901219,2026-03-23,214610,1049167,롤링스톤,[기재정정]주권매매거래정지              (풍문 또는 보도 관련),suspension_related,no_link,medium,False,False,True,4,window_too_short,candidate at 348d (pass-1 used 180d)
20260319902113,2026-03-19,106080,542898,케이이엠텍,"[기재정정]주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",suspension_related,no_link,high,False,False,False,1,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260223900512,2026-02-23,163280,1663116,에어레인,[기재정정]주권매매거래정지              (무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20260205600092,2026-02-05,341310,1337017,이앤에치,[기재정정]주권매매거래정지기간변경              (상장적격성 실질심사 대상 결정),suspension_related,no_link,high,False,False,False,5,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260123900670,2026-01-23,111870,125965,케이에이치미래물산,[기재정정]기타시장안내              (상장폐지결정 등 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),resumption_related,no_link,no_link,False,False,False,5,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260123900664,2026-01-23,226360,1097906,케이에이치건설,[기재정정]기타시장안내              (상장폐지결정 등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개 ),resumption_related,no_link,no_link,False,False,False,8,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260506900571,2026-05-06,900110,799070,딥커머스,[기재정정]주권매매거래정지              ,suspension_related,no_link,medium,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20260401901549,2026-04-01,001840,145668,이화공영,[기재정정]주권매매거래정지기간변경              (상장적격성 실질심사 대상 결정),suspension_related,no_link,medium,False,False,False,10,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20210323901856,2021-03-23,121890,604815,에스디시스템,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),suspension_related,no_link,high,False,False,True,14,window_too_short,candidate at 355d (pass-1 used 180d)
20210315901847,2021-03-15,114570,673976,지스마트글로벌,"[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생, 상장적격성 실질심사대상(사유발생))",suspension_related,no_link,medium,False,False,True,8,window_too_short,candidate at 357d (pass-1 used 180d)
