date,signal_plus_gate_value,signal_only_value,gate_only_value,cash_value
2020-06-08,0.5047733373037604,0.38312832129692725,0.4983971689236113,1.0
2020-06-09,0.5031802422291568,0.3819191190830869,0.49929557520367085,1.0
2020-06-10,0.5144206737028296,0.3904507363972703,0.5090012167707478,1.0
2020-06-11,0.513510664783482,0.38975997467800094,0.5169713589613593,1.0
2020-06-12,0.5200894456686205,0.3947532869842771,0.5226291136312332,1.0
2020-06-15,0.49390162418067485,0.3748764549514658,0.501716351539558,1.0
2020-06-16,0.5257052826955989,0.39901576617245915,0.5306507701656116,1.0
2020-06-17,0.53120985023516,0.4031937902391167,0.5341694069763367,1.0
2020-06-18,0.5305879125131865,0.4027217327351804,0.529616911983786,1.0
2020-06-19,0.5378884953067398,0.40826295199513396,0.531081063194222,1.0
2020-06-22,0.5345642134450277,0.40573978722684545,0.5386347842141479,1.0
2020-06-23,0.5308490793543554,0.4029199617801079,0.5486139416107843,1.0
2020-06-24,0.5345995427898883,0.4057666029255411,0.5578722884760393,1.0
2020-06-25,0.521314216380279,0.395682902263913,0.5481798958852658,1.0
2020-06-26,0.5089966693608852,0.3863337562012825,0.5493416723000605,1.0
2020-06-29,0.4871321002199248,0.36973832123877604,0.5400905768123818,1.0
2020-06-30,0.4876159952412905,0.37010560258284664,0.5319440618377445,1.0
2020-07-01,0.4749143228047335,0.3604649013400594,0.5264933239624425,1.0
2020-07-02,0.47419230956206493,0.35991688579327435,0.5376736039317966,1.0
2020-07-03,0.4852583616645899,0.3683161342215051,0.5388095609007334,1.0
2020-07-06,0.47746649113408846,0.36240202359741613,0.5402508921763973,1.0
2020-07-07,0.4676631740590679,0.35496120416416965,0.5232548303761242,1.0
2020-07-08,0.46533630607442356,0.3531950872074044,0.5212171215493043,1.0
2020-07-09,0.4687756408181394,0.35580557798339785,0.5269208169352757,1.0
2020-07-10,0.46907802187518355,0.35603508834486863,0.5295690027873727,1.0
2020-07-13,0.47778426753899694,0.3626432191877431,0.5318369379147765,1.0
2020-07-14,0.4806494642108633,0.36481793320677847,0.5247547628755815,1.0
2020-07-15,0.47421376382102737,0.35993316979855794,0.5259000716114823,1.0
2020-07-16,0.46724926403032196,0.35464704215533743,0.5160907420765103,1.0
2020-07-17,0.4643397945347651,0.35243872460350184,0.524374638962488,1.0
2020-07-20,0.4597046967036861,0.3489206372303645,0.5161883564612801,1.0
2020-07-21,0.4640392496590305,0.3522106079227074,0.5219741245006552,1.0
2020-07-22,0.45297937209589,0.3438160460339735,0.5253396961557285,1.0
2020-07-23,0.445119657029418,0.3378504407027532,0.5266119897547716,1.0
2020-07-24,0.4420184525904608,0.3354965943383771,0.523505698411296,1.0
2020-07-27,0.44685102134715293,0.3391645641941026,0.5255893797078599,1.0
2020-07-28,0.4565652240261358,0.3465377448756139,0.5314029642770012,1.0
2020-07-29,0.4547385380218423,0.34515127123458267,0.525691057168691,1.0
2020-07-30,0.451362796909162,0.3425890486847436,0.5279025919224409,1.0
2020-07-31,0.4394786416663755,0.3335688514799053,0.5236768501940696,1.0
2020-08-03,0.4319880976664824,0.32788345082077414,0.5265609591895795,1.0
2020-08-04,0.4320158039018478,0.3279044801410492,0.5212274612124297,1.0
2020-08-05,0.4421961765689242,0.33563148868307535,0.5321108761942341,1.0
2020-08-06,0.44605740192884025,0.3385621988166295,0.5377836673145231,1.0
2020-08-07,0.44662888255897554,0.3389959585477383,0.5427824739347474,1.0
2020-08-10,0.46162275940359276,0.35037646673199474,0.5404343580664815,1.0
2020-08-11,0.4598990682478999,0.3490681672502943,0.5575573658695877,1.0
2020-08-12,0.4739918382946981,0.3597647260201503,0.5591654029229466,1.0
2020-08-13,0.48152276245288633,0.36548077563863474,0.555095896095504,1.0
2020-08-14,0.48202556993432977,0.3658624117369549,0.5439260248406123,1.0
2020-08-18,0.45111350054135346,0.34239983015350234,0.541481508135422,1.0
2020-08-19,0.4594814981847113,0.3487512272373233,0.5281789682083491,1.0
2020-08-20,0.4464648549883412,0.33887145991877177,0.5116759691416322,1.0
2020-08-21,0.4704268410062383,0.3570588560681283,0.5242708932974812,1.0
2020-08-24,0.47692875524087525,0.361993876471953,0.5318367474809331,1.0
