ticker,concept,period_type,count,lag_min,lag_median,lag_max
PG,NetIncome,annual,38,35,129,225
PG,NetIncome,other,0,,,
PG,OperatingIncome,quarterly,51,18,23,30
PG,OperatingIncome,annual,38,35,129,225
PG,OperatingIncome,other,0,,,
PG,StockholdersEquity,quarterly,82,18,26,120
PG,StockholdersEquity,annual,16,35,38,44
PG,StockholdersEquity,other,0,,,
PG,Assets,quarterly,67,18,24,120
PG,Assets,annual,16,35,38,44
PG,Assets,other,0,,,
PG,CFO,quarterly,51,18,23,30
PG,CFO,annual,16,35,38,44
PG,CFO,other,0,,,
PG,Buybacks,quarterly,51,18,23,30
PG,Buybacks,annual,16,35,38,44
PG,Buybacks,other,0,,,
PG,Cash,quarterly,67,18,24,120
PG,Cash,annual,16,35,38,44
PG,Cash,other,0,,,
PG,LongTermDebt,quarterly,67,18,24,120
PG,LongTermDebt,annual,16,35,38,44
PG,LongTermDebt,other,0,,,
PG,TotalLiabilities,quarterly,67,18,24,120
PG,TotalLiabilities,annual,16,35,38,44
PG,TotalLiabilities,other,0,,,
PG,EPS_Basic,quarterly,51,18,23,30
PG,EPS_Basic,annual,16,35,38,44
PG,EPS_Basic,other,0,,,
PG,EPS_Diluted,quarterly,51,18,23,30
PG,EPS_Diluted,annual,38,35,129,225
PG,EPS_Diluted,other,0,,,
PG,CapEx,quarterly,51,18,23,30
PG,CapEx,annual,16,35,38,44
PG,CapEx,other,0,,,
PG,Shares,quarterly,51,18,23,30
PG,Shares,annual,16,35,38,44
PG,Shares,other,0,,,
PG,Dividends,quarterly,51,18,23,30
PG,Dividends,annual,16,35,38,44
PG,Dividends,other,0,,,
JNJ,Revenue,quarterly,51,24,32,40
JNJ,Revenue,annual,39,45,143,241
JNJ,Revenue,other,0,,,
JNJ,NetIncome,quarterly,51,24,32,40
JNJ,NetIncome,annual,39,45,143,241
JNJ,NetIncome,other,0,,,
JNJ,OperatingIncome,quarterly,51,24,32,40
JNJ,OperatingIncome,annual,39,45,143,241
JNJ,OperatingIncome,other,0,,,
JNJ,StockholdersEquity,quarterly,70,24,33,120
JNJ,StockholdersEquity,annual,17,45,52,58
JNJ,StockholdersEquity,other,0,,,
JNJ,Assets,quarterly,56,24,32,117
JNJ,Assets,annual,17,45,52,58
JNJ,Assets,other,0,,,
JNJ,CFO,quarterly,51,24,32,40
JNJ,CFO,annual,17,45,52,58
JNJ,CFO,other,0,,,
JNJ,Buybacks,quarterly,51,24,32,40
JNJ,Buybacks,annual,17,45,52,58
JNJ,Buybacks,other,0,,,
JNJ,Cash,quarterly,56,24,32,117
JNJ,Cash,annual,17,45,52,58
JNJ,Cash,other,0,,,
JNJ,LongTermDebt,quarterly,56,24,32,117
JNJ,LongTermDebt,annual,17,45,52,58
JNJ,LongTermDebt,other,0,,,
JNJ,TotalLiabilities,quarterly,56,24,32,117
JNJ,TotalLiabilities,annual,17,45,52,58
JNJ,TotalLiabilities,other,0,,,
JNJ,EPS_Basic,quarterly,51,24,32,40
JNJ,EPS_Basic,annual,39,45,143,241
JNJ,EPS_Basic,other,0,,,
JNJ,EPS_Diluted,quarterly,51,24,32,40
JNJ,EPS_Diluted,annual,39,45,143,241
JNJ,EPS_Diluted,other,0,,,
JNJ,CapEx,quarterly,51,24,32,40
JNJ,CapEx,annual,17,45,52,58
JNJ,CapEx,other,0,,,
JNJ,Shares,quarterly,51,24,32,40
JNJ,Shares,annual,17,45,52,58
JNJ,Shares,other,0,,,
JNJ,Dividends,quarterly,51,24,32,40
JNJ,Dividends,annual,18,45,52,58
JNJ,Dividends,other,0,,,
HD,Revenue,quarterly,50,23,23,32
HD,Revenue,annual,37,45,144,242
HD,Revenue,other,0,,,
HD,NetIncome,quarterly,50,23,23,32
HD,NetIncome,annual,33,45,53,242
HD,NetIncome,other,0,,,
HD,OperatingIncome,quarterly,50,23,23,32
HD,OperatingIncome,annual,17,45,53,53
HD,OperatingIncome,other,0,,,
HD,StockholdersEquity,quarterly,64,23,24,116
HD,StockholdersEquity,annual,17,45,53,53
HD,StockholdersEquity,other,0,,,
HD,Assets,quarterly,64,23,24,116
HD,Assets,annual,17,45,53,53
HD,Assets,other,0,,,
HD,CFO,quarterly,50,23,23,32
HD,CFO,annual,17,45,53,53
HD,CFO,other,0,,,
HD,Buybacks,quarterly,50,23,23,63
HD,Buybacks,annual,17,45,53,53
HD,Buybacks,other,0,,,
HD,Cash,quarterly,64,23,24,116
HD,Cash,annual,17,45,53,53
HD,Cash,other,0,,,
HD,LongTermDebt,quarterly,0,,,
HD,LongTermDebt,annual,8,45,49,53
HD,LongTermDebt,other,0,,,
HD,TotalLiabilities,quarterly,64,23,24,116
HD,TotalLiabilities,annual,17,45,53,53
HD,TotalLiabilities,other,0,,,
HD,EPS_Basic,quarterly,50,23,23,32
HD,EPS_Basic,annual,37,45,144,242
HD,EPS_Basic,other,0,,,
HD,EPS_Diluted,quarterly,50,23,23,32
HD,EPS_Diluted,annual,37,45,144,242
