signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold3,068270,2023-12-08,2023-12-11,2023-12-13,3,169400.0,179700.0,0.0,0.06080283353010629,0.04142621015348291,0.013376623376623384
r1d_lt_m3_hold3,004270,2019-07-11,2019-07-12,2019-07-16,3,4010.0,4170.0,0.0,0.03990024937655856,0.02512219451371568,0.008778054862842883
r1d_lt_m3_hold3,007630,2018-02-02,2018-02-05,2018-02-07,3,16300.0,14500.0,0.0,-0.11042944785276076,-0.11642944785276077,0.0
r1d_lt_m3_hold3,483650,2026-04-14,2026-04-17,2026-04-22,3,190500.0,213000.0,0.0,0.11811023622047245,0.0861259842519685,0.02598425196850394
r1d_lt_m3_hold3,010950,2019-03-28,2019-03-29,2019-04-02,3,90100.0,90300.0,0.0,0.002219755826859071,-0.004268590455049925,0.0004883462819089957
r1d_lt_m3_hold3,001450,2024-08-16,2024-08-20,2024-09-03,3,34850.0,35750.0,0.0,0.02582496413199431,0.014143472022955563,0.005681492109038748
r1d_lt_m3_hold3,005930,2021-07-30,2021-08-02,2021-08-04,3,79200.0,82900.0,0.0,0.04671717171717171,0.03043939393939394,0.010277777777777776
r1d_lt_m3_hold3,005830,2023-07-07,2023-07-10,2023-07-14,3,73200.0,74400.0,0.0,0.016393442622950838,0.0067868852459016535,0.0036065573770491842
r1d_lt_m3_hold3,002150,2022-11-16,2022-11-17,2023-05-17,3,10900.0,8550.0,0.0,-0.2155963302752294,-0.2215963302752294,0.0
r1d_lt_m3_hold3,006400,2018-01-04,2018-01-05,2018-01-09,3,209500.0,219500.0,0.0,0.047732696897374804,0.03123150357995235,0.010501193317422457
r1d_lt_m3_hold3,009150,2026-03-17,2026-03-18,2026-03-20,3,462500.0,464500.0,0.0,0.00432432432432428,-0.0026270270270270617,0.0009513513513513416
r1d_lt_m3_hold3,010620,2018-08-09,2018-08-14,2018-08-20,3,93900.0,92600.0,0.0,-0.013844515441959526,-0.019844515441959525,0.0
r1d_lt_m3_hold3,030200,2023-01-10,2023-01-11,2023-01-13,3,34400.0,34350.0,0.0,-0.0014534883720930258,-0.007453488372093026,0.0
r1d_lt_m3_hold3,090430,2019-10-28,2019-10-29,2019-10-31,3,157000.0,192000.0,0.0,0.22292993630573243,0.1678853503184713,0.049044585987261136
r1d_lt_m3_hold3,066570,2024-12-12,2024-12-13,2024-12-17,3,87600.0,86800.0,0.0,-0.0091324200913242,-0.0151324200913242,0.0
r1d_lt_m3_hold3,035420,2019-10-11,2019-10-14,2019-10-16,3,156000.0,154500.0,0.0,-0.009615384615384581,-0.015615384615384581,0.0
r1d_lt_m3_hold3,012330,2025-01-02,2025-01-03,2025-01-07,3,245500.0,249000.0,0.0,0.014256619144602745,0.005120162932790141,0.0031364562118126036
r1d_lt_m3_hold3,102280,2021-12-06,2021-12-07,2021-12-09,3,890.0,884.0,0.0,-0.006741573033707815,-0.012741573033707815,0.0
r1d_lt_m3_hold3,018260,2019-07-11,2019-07-15,2019-07-17,3,217000.0,214000.0,0.0,-0.01382488479262678,-0.019824884792626778,0.0
