sample_id,bucket,category,in_scope_for_parser,negative_control,period,rcept_no,rcept_dt,stock_code,corp_name,report_nm,is_correction
MAN_0112,delisting_post,delisting,False,True,post_2018,20250829900962,2025-08-29,060240,스타코링크,기타시장안내              (코스닥시장위원회 개최 결과 및 상장폐지 결정),False
MAN_0113,delisting_post,delisting,False,True,post_2018,20200131900610,2020-01-31,054340,피앤텔,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,False
MAN_0114,delisting_post,delisting,False,True,post_2018,20220722900465,2022-07-22,046110,한일네트웍스,상장폐지결정,False
MAN_0115,delisting_post,delisting,False,True,post_2018,20220602800214,2022-06-02,016380,KG스틸,투자유의안내(KG스틸1우선주 상장폐지 우려),False
MAN_0116,delisting_post,delisting,False,True,post_2018,20190520600613,2019-05-20,253840,수젠텍,상장폐지결정(코스닥시장 이전상장),False
MAN_0117,delisting_post,delisting,False,True,post_2018,20190404900832,2019-04-04,123260,파인넥스,기타시장안내(상장폐지 관련 이의신청서 접수),False
MAN_0118,delisting_post,delisting,False,True,post_2018,20230228901487,2023-02-28,038340,무궁화인포메이션테크놀로지,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,False
MAN_0119,delisting_post,delisting,False,True,post_2018,20250917900495,2025-09-17,448740,삼성기업인수목적8호,기타시장안내              (주권 상장폐지 우려 예고),False
MAN_0120,delisting_post,delisting,False,True,post_2018,20210215900986,2021-02-15,049180,셀루메드,기타시장안내(개선기간 종료에 따른 상장폐지여부 결정 안내),False
MAN_0121,liquidation_all,liquidation,False,True,post_2018,20250210900015,2025-02-10,078940,퀀타피아,기타경영사항(자율공시)              (주권 정리매매에 대한 강제집행정지 신청),False
MAN_0122,liquidation_all,liquidation,False,True,pre_2018,20110420900511,20110420,040180,대양글로벌,기타시장안내(정리매매 보류 관련),False
MAN_0123,liquidation_all,liquidation,False,True,pre_2018,20110420900513,20110420,026540,제일창업투자,기타시장안내(정리매매 보류 관련),False
MAN_0124,managed_bucket,managed,False,True,post_2018,20260227900707,2026-02-27,457630,대신밸런스제16호기업인수목적,[기재정정]기타시장안내(관리종목지정우려종목)              ,True
MAN_0125,managed_bucket,managed,False,True,pre_2018,20120312900512,20120312,037240,평안물산,기타시장안내(제재금 미납에 따른 가중벌점 부과 및 관리종목 지정사유 추가),False
MAN_0126,managed_bucket,managed,False,True,post_2018,20260211901847,2026-02-11,214610,롤링스톤,기타시장안내(관리종목지정우려종목)              ,False
MAN_0127,managed_bucket,managed,False,True,post_2018,20190808900573,2019-08-08,257730,신한제3호기업인수목적,기타시장안내(관리종목 지정우려 예고),False
MAN_0128,managed_bucket,managed,False,True,pre_2018,20130802800400,20130802,013000,세우글로벌,투자유의안내(우선주 관리종목 지정 우려),False
MAN_0129,managed_bucket,managed,False,True,pre_2018,20150211800734,20150211,005960,동부건설,[기재정정]투자유의안내(관리종목지정 사유 추가 우려 예고),True
MAN_0130,managed_bucket,managed,False,True,pre_2018,20120315901344,20120315,042820,어울림네트웍스,기타시장안내(관리종목지정우려종목),False
MAN_0131,managed_bucket,managed,False,True,post_2018,20250320902108,2025-03-20,435380,유안타제10호기업인수목적,기타시장안내(관리종목지정우려종목)              ,False
MAN_0132,managed_bucket,managed,False,True,post_2018,20260331904847,2026-03-31,217620,선샤인푸드,기타시장안내              (관리종목 지정사유 추가 관련 시장조치사항 안내),False
MAN_0133,managed_bucket,managed,False,True,pre_2018,20131129801113,20131129,006370,대구백화점,투자유의안내(1우선주 관리종목 지정 우려),False
MAN_0134,managed_bucket,managed,False,True,post_2018,20190701900447,2019-07-01,050320,에스에이치엔엘,기타시장안내(2017사업연도 감사보고서 재발행에 따른 관리종목 지정사유 추가 및 상장적격성 실질심사 관련 안내),False
MAN_0135,managed_bucket,managed,False,True,pre_2018,20110311901098,20110311,019430,위더스기술금융,기타시장안내(관리종목지정우려종목),False
MAN_0136,managed_bucket,managed,False,True,pre_2018,20150227801247,20150227,001440,대한전선,투자유의안내(관리종목지정 우려 예고),False
MAN_0137,managed_bucket,managed,False,True,post_2018,20260206902836,2026-02-06,219550,디와이디,기타시장안내(관리종목지정우려종목)              ,False
MAN_0138,managed_bucket,managed,False,True,pre_2018,20131223800494,20131223,004960,한신공영,투자유의안내(우선주 관리종목 지정 우려),False
MAN_0139,managed_bucket,managed,False,True,pre_2018,20120202900338,20120202,045470,에이프로테크놀로지,기타경영사항(자율공시)(관리종목지정결정 효력정지 가처분 신청),False
MAN_0140,managed_bucket,managed,False,True,post_2018,20260325901482,2026-03-25,050090,비케이홀딩스,기타시장안내(관리종목지정우려종목)              (시가총액 150억원 미달),False
MAN_0141,managed_bucket,managed,False,True,post_2018,20250221900999,2025-02-21,101390,아이엠,기타시장안내(관리종목지정우려종목)              ,False
MAN_0142,managed_bucket,managed,False,True,post_2018,20190215900345,2019-02-15,065940,바이오빌,소속부변경(소속부제외 관리종목 지정),False
MAN_0143,managed_bucket,managed,False,True,pre_2018,20160623800533,20160623,000320,노루홀딩스,투자유의안내(1우선주 관리종목지정 우려 예고),False
MAN_0144,managed_bucket,investment_alert,False,True,pre_2018,20170926900550,20170926,026180,현대정보기술,투자판단관련주요경영사항(최대주주의 물적분할에 따른 최대주주 변경 예정),False
MAN_0145,managed_bucket,managed,False,True,pre_2018,20171103900739,20171103,215580,대우기업인수목적3호,기타시장안내(관리종목 지정우려 예고),False
MAN_0146,managed_bucket,managed,False,True,post_2018,20220215900966,2022-02-15,329560,상상인이안제2호기업인수목적,기타시장안내(관리종목지정우려종목),False
MAN_0147,managed_bucket,managed,False,True,post_2018,20260311902665,2026-03-11,052770,아이톡시,기타시장안내              (관리종목 지정사유 추가 우려)(시가총액 150억원 미달),False
MAN_0148,managed_bucket,managed,False,True,pre_2018,20110504900490,20110504,087220,스틸플라워,소속부변경(관리종목 지정),False
MAN_0149,managed_bucket,managed,False,True,pre_2018,20131223800611,20131223,003960,사조대림,투자유의안내(1우선주 관리종목지정 우려),False
MAN_0150,managed_bucket,managed,False,True,post_2018,20250516900366,2025-05-16,442130,유진기업인수목적9호,기타시장안내(관리종목지정우려종목)              ,False
MAN_0151,managed_bucket,managed,False,True,post_2018,20240213900597,2024-02-13,023790,동일스틸럭스,기타시장안내              (관리종목 지정우려종목),False
MAN_0152,managed_bucket,short_term_overheated,False,True,pre_2018,20130411900373,20130411,043200,파루,기타시장안내(단기과열완화장치발동예고),False
MAN_0153,managed_bucket,managed,False,True,post_2018,20231220900735,2023-12-20,033200,모아텍,기타시장안내(관리종목 지정우려(거래량 미달)),False
MAN_0154,correction_flagged,delisting,False,True,post_2018,20180322900667,2018-03-22,101680,한국정밀기계,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0155,correction_flagged,suspension_related,True,False,post_2018,20220329900679,2022-03-29,253840,수젠텍,[기재정정]주권매매거래정지(단일판매공급계약),True
MAN_0156,correction_flagged,delisting,False,True,post_2018,20210226901514,2021-02-26,195440,퓨전,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
MAN_0157,correction_flagged,suspension_related,True,False,post_2018,20210120900703,2021-01-20,087730,이엠네트웍스,[기재정정]주권매매거래정지기간변경(회생절차 개시신청),True
