sample_id,bucket,category,period,rcept_no,rcept_dt,stock_code,corp_code,corp_name,corp_cls,report_nm,is_correction,body_format,n_findings,labels_present,classification,effective_date_value,effective_date_label,effective_date_field_type,rcept_relation,reviewer_confidence,low_confidence_reason
MAN_0081,delisting_pre,delisting,pre_2018,20150423900101,20150423,065180,00389679,해피드림,E,기타경영사항(자율공시)(상장폐지금지가처분신청 기각에 대한 항고),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0082,delisting_pre,delisting,pre_2018,20100121900412,20100121,056850,00358095,코어비트,E,기타시장안내(상장폐지 실질심사위원회 심의결과),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0083,delisting_pre,delisting,pre_2018,20130403900202,20130403,068420,00407975,엔터미디어,E,기타경영사항(자율공시)(상장폐지결정효력정지 가처분신청 기각 결정),False,html_inline,4,거래정지기간|매매거래정지|매매거래정지기간|정지기간,ambiguous_date,,,,unknown,medium,title_only_or_label_no_value
MAN_0084,delisting_pre,delisting,pre_2018,20120413900509,20120413,064090,00390408,인크레더블버즈,K,기타시장안내(상장폐지 실질심사위원회 심의결과),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0085,delisting_pre,delisting,pre_2018,20130328900903,20130328,014940,00141608,오리엔탈정공,K,기타시장안내(상장폐지실질심사 사유추가 관련),False,html_inline,1,매매거래정지,ambiguous_date,2013-03-13,매매거래정지,suspension_marker,before_rcept_dt,medium,title_only_or_label_no_value
MAN_0086,delisting_pre,delisting,pre_2018,20131211800491,20131211,003410,00138224,쌍용씨앤이,E,기타시장안내(2우선주 상장폐지 관련),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0087,delisting_pre,delisting,pre_2018,20170315901005,20170315,095300,00447478,엔에스브이,E,내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0088,delisting_pre,delisting,pre_2018,20140331803959,20140331,000420,00120377,로케트전기,E,기타시장안내(상장폐지관련 이의신청서 제출),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0089,delisting_pre,delisting,pre_2018,20170726600272,20170726,204690,00410678,다린,E,상장폐지결정,False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0090,delisting_pre,delisting,pre_2018,20160704900419,20160704,074150,00418476,엠제이비,E,기타시장안내(개선기간 종료에 따른 상장폐지 여부 결정 안내),False,html_inline,1,매매거래정지,ambiguous_date,,,,unknown,medium,title_only_or_label_no_value
MAN_0091,delisting_pre,delisting,pre_2018,20110401900194,20110401,040180,00269773,대양글로벌,E,[기재정정]기타시장안내(상장폐지 관련 이의신청서 접수),True,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0092,delisting_pre,delisting,pre_2018,20120217900487,20120217,031920,00136095,조은저축은행,E,기타시장안내(상장폐지실질심사 대상제외 결정),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0093,delisting_pre,delisting,pre_2018,20170705600279,20170705,189700,00632331,디피앤케이,E,기타시장안내(상장폐지 관련),False,html_inline,1,매매거래정지,ambiguous_date,,,,unknown,medium,title_only_or_label_no_value
MAN_0094,delisting_pre,delisting,pre_2018,20120511900256,20120511,045260,00264981,디에이치패션,E,기타시장안내(상장폐지실질심사 관련 ),False,html_inline,1,매매거래정지,ambiguous_date,,,,unknown,medium,title_only_or_label_no_value
MAN_0095,delisting_pre,delisting,pre_2018,20150813600827,20150813,082220,00535719,프렉코,E,기타시장안내(상장폐지기준 해당여부 심사대상 결정),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0096,delisting_pre,delisting,pre_2018,20171011900196,20171011,206660,01046179,골든브릿지제2호기업인수목적,E,기타경영사항(자율공시)(상장폐지 및 청산관련 주요사항 안내),False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
